"USE THESE AUTHORS																																																																																																																																																																												"
"Maherali	 N.	 #	 Sridharan	 R.	 #	 Xie	 W.	 #	 Utikal	 J.	 #	 Eminli	 S.	 #	 Arnold	 K.	 #	 Stadtfeld	 M.	 #	 Yachechko	 R.	 #	 Tchieu	 J.	 #	 Jaenisch	 R.	 #	 Plath	 K.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Rada-Iglesias	 A.	 #	 Bajpai	 R.	 #	 Prescott	 S.	 #	 Brugmann	 S.A.	 #	 Swigut	 T.	 #	 Wysocka	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hidalgo	 I.	 #	 Herrera-Merchan	 A.	 #	 Ligos	 J.M.	 #	 Carramolino	 L.	 #	 Nuñez	 J.	 #	 Martinez	 F.	 #	 Dominguez	 O.	 #	 Torres	 M.	 #	 Gonzalez	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Li	 Z.	 #	 Lan	 Y.	 #	 He	 W.	 #	 Chen	 D.	 #	 Wang	 J.	 #	 Zhou	 F.	 #	 Wang	 Y.	 #	 Sun	 H.	 #	 Chen	 X.	 #	 Xu	 C.	 #	 Li	 S.	 #	 Pang	 Y.	 #	 Zhang	 G.	 #	 Yang	 L.	 #	 Zhu	 L.	 #	 Fan	 M.	 #	 Shang	 A.	 #	 Ju	 Z.	 #	 Luo	 L.	 #	 Ding	 Y.	 #	 Guo	 W.	 #	 Yuan	 W.	 #	 Yang	 X.	 #	 Liu	 B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Valdez	 J.M.	 #	 Zhang	 L.	 #	 Su	 Q.	 #	 Dakhova	 O.	 #	 Zhang	 Y.	 #	 Shahi	 P.	 #	 Spencer	 D.M.	 #	 Creighton	 C.J.	 #	 Ittmann	 M.M.	 #	 Xin	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Insco	 M.L.	 #	 Bailey	 A.S.	 #	 Kim	 J.	 #	 Olivares	 G.H.	 #	 Wapinski	 O.L.	 #	 Tam	 C.H.	 #	 Fuller	 M.T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"McKinney-Freeman	 S.	 #	 Cahan	 P.	 #	 Li	 H.	 #	 Lacadie	 S.A.	 #	 Huang	 H.-T.	 #	 Curran	 M.	 #	 Loewer	 S.	 #	 Naveiras	 O.	 #	 Kathrein	 K.L.	 #	 Konantz	 M.	 #	 Langdon	 E.M.	 #	 Lengerke	 C.	 #	 Zon	 L.I.	 #	 Collins	 J.J.	 #	 Daley	 G.Q.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hermann	 B.P.	 #	 Sukhwani	 M.	 #	 Winkler	 F.	 #	 Pascarella	 J.N.	 #	 Peters	 K.A.	 #	 Sheng	 Y.	 #	 Valli	 H.	 #	 Rodriguez	 M.	 #	 Ezzelarab	 M.	 #	 Dargo	 G.	 #	 Peterson	 K.	 #	 Masterson	 K.	 #	 Ramsey	 C.	 #	 Ward	 T.	 #	 Lienesch	 M.	 #	 Volk	 A.	 #	 Cooper	 D.K.	 #	 Thomson	 A.W.	 #	 Kiss	 J.E.	 #	 Penedo	 M.C.T.	 #	 Schatten	 G.P.	 #	 Mitalipov	 S.	 #	 Orwig	 K.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Golipour	 A.	 #	 David	 L.	 #	 Liu	 Y.	 #	 Jayakumaran	 G.	 #	 Hirsch	 C.L.	 #	 Trcka	 D.	 #	 Wrana	 J.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Buckley	 S.M.	 #	 Aranda-Orgilles	 B.	 #	 Strikoudis	 A.	 #	 Apostolou	 E.	 #	 Loizou	 E.	 #	 Moran-Crusio	 K.	 #	 Farnsworth	 C.L.	 #	 Koller	 A.A.	 #	 Dasgupta	 R.	 #	 Silva	 J.C.	 #	 Stadtfeld	 M.	 #	 Hochedlinger	 K.	 #	 Chen	 E.I.	 #	 Aifantis	 I.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lechman	 E.R.	 #	 Gentner	 B.	 #	 Van Galen	 P.	 #	 Giustacchini	 A.	 #	 Saini	 M.	 #	 Boccalatte	 F.E.	 #	 Hiramatsu	 H.	 #	 Restuccia	 U.	 #	 Bachi	 A.	 #	 Voisin	 V.	 #	 Bader	 G.D.	 #	 Dick	 J.E.	 #	 Naldini	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ren	 G.	 #	 Zhao	 X.	 #	 Wang	 Y.	 #	 Zhang	 X.	 #	 Chen	 X.	 #	 Xu	 C.	 #	 Yuan	 Z.-R.	 #	 Roberts	 A.I.	 #	 Zhang	 L.	 #	 Zheng	 B.	 #	 Wen	 T.	 #	 Han	 Y.	 #	 Rabson	 A.B.	 #	 Tischfield	 J.A.	 #	 Shao	 C.	 #	 Shi	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Bazzoli	 E.	 #	 Pulvirenti	 T.	 #	 Oberstadt	 M.C.	 #	 Perna	 F.	 #	 Wee	 B.	 #	 Schultz	 N.	 #	 Huse	 J.T.	 #	 Fomchenko	 E.I.	 #	 Voza	 F.	 #	 Tabar	 V.	 #	 Brennan	 C.W.	 #	 Deangelis	 L.M.	 #	 Nimer	 S.D.	 #	 Holland	 E.C.	 #	 Squatrito	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Li	 H.	 #	 Collado	 M.	 #	 Villasante	 A.	 #	 Matheu	 A.	 #	 Lynch	 C.J.	 #	 Cañamero	 M.	 #	 Rizzoti	 K.	 #	 Carneiro	 C.	 #	 Martínez	 G.	 #	 Vidal	 A.	 #	 Lovell-Badge	 R.	 #	 Serrano	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Vizcardo	 R.	 #	 Masuda	 K.	 #	 Yamada	 D.	 #	 Ikawa	 T.	 #	 Shimizu	 K.	 #	 Fujii	 S.-I.	 #	 Koseki	 H.	 #	 Kawamoto	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"De Laval	 B.	 #	 Pawlikowska	 P.	 #	 Petit-Cocault	 L.	 #	 Bilhou-Nabera	 C.	 #	 Aubin-Houzelstein	 G.	 #	 Souyri	 M.	 #	 Pouzoulet	 F.	 #	 Gaudry	 M.	 #	 Porteu	 F.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Takubo	 K.	 #	 Nagamatsu	 G.	 #	 Kobayashi	 C.I.	 #	 Nakamura-Ishizu	 A.	 #	 Kobayashi	 H.	 #	 Ikeda	 E.	 #	 Goda	 N.	 #	 Rahimi	 Y.	 #	 Johnson	 R.S.	 #	 Soga	 T.	 #	 Hirao	 A.	 #	 Suematsu	 M.	 #	 Suda	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Yu	 W.-M.	 #	 Liu	 X.	 #	 Shen	 J.	 #	 Jovanovic	 O.	 #	 Pohl	 E.E.	 #	 Gerson	 S.L.	 #	 Finkel	 T.	 #	 Broxmeyer	 H.E.	 #	 Qu	 C.-K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Bentzinger	 C.F.	 #	 Wang	 Y.X.	 #	 Von Maltzahn	 J.	 #	 Soleimani	 V.D.	 #	 Yin	 H.	 #	 Rudnicki	 M.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Marqués-Torrejón	 M.Á.	 #	 Porlan	 E.	 #	 Banito	 A.	 #	 Gómez-Ibarlucea	 E.	 #	 Lopez-Contreras	 A.J.	 #	 Fernández-Capetillo	 Ó.	 #	 Vidal	 A.	 #	 Gil	 J.	 #	 Torres	 J.	 #	 Fariñas	 I.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lan	 F.	 #	 Lee	 A.S.	 #	 Liang	 P.	 #	 Sanchez-Freire	 V.	 #	 Nguyen	 P.K.	 #	 Wang	 L.	 #	 Han	 L.	 #	 Yen	 M.	 #	 Wang	 Y.	 #	 Sun	 N.	 #	 Abilez	 O.J.	 #	 Hu	 S.	 #	 Ebert	 A.D.	 #	 Navarrete	 E.G.	 #	 Simmons	 C.S.	 #	 Wheeler	 M.	 #	 Pruitt	 B.	 #	 Lewis	 R.	 #	 Yamaguchi	 Y.	 #	 Ashley	 E.A.	 #	 Bers	 D.M.	 #	 Robbins	 R.C.	 #	 Longaker	 M.T.	 #	 Wu	 J.C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nishimura	 T.	 #	 Kaneko	 S.	 #	 Kawana-Tachikawa	 A.	 #	 Tajima	 Y.	 #	 Goto	 H.	 #	 Zhu	 D.	 #	 Nakayama-Hosoya	 K.	 #	 Iriguchi	 S.	 #	 Uemura	 Y.	 #	 Shimizu	 T.	 #	 Takayama	 N.	 #	 Yamada	 D.	 #	 Nishimura	 K.	 #	 Ohtaka	 M.	 #	 Watanabe	 N.	 #	 Takahashi	 S.	 #	 Iwamoto	 A.	 #	 Koseki	 H.	 #	 Nakanishi	 M.	 #	 Eto	 K.	 #	 Nakauchi	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Tohyama	 S.	 #	 Hattori	 F.	 #	 Sano	 M.	 #	 Hishiki	 T.	 #	 Nagahata	 Y.	 #	 Matsuura	 T.	 #	 Hashimoto	 H.	 #	 Suzuki	 T.	 #	 Yamashita	 H.	 #	 Satoh	 Y.	 #	 Egashira	 T.	 #	 Seki	 T.	 #	 Muraoka	 N.	 #	 Yamakawa	 H.	 #	 Ohgino	 Y.	 #	 Tanaka	 T.	 #	 Yoichi	 M.	 #	 Yuasa	 S.	 #	 Murata	 M.	 #	 Suematsu	 M.	 #	 Fukuda	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ben-David	 U.	 #	 Gan	 Q.-F.	 #	 Golan-Lev	 T.	 #	 Arora	 P.	 #	 Yanuka	 O.	 #	 Oren	 Y.S.	 #	 Leikin-Frenkel	 A.	 #	 Graf	 M.	 #	 Garippa	 R.	 #	 Boehringer	 M.	 #	 Gromo	 G.	 #	 Benvenisty	 N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hu	 G.	 #	 Cui	 K.	 #	 Northrup	 D.	 #	 Liu	 C.	 #	 Wang	 C.	 #	 Tang	 Q.	 #	 Ge	 K.	 #	 Levens	 D.	 #	 Crane-Robinson	 C.	 #	 Zhao	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Bao	 X.	 #	 Tang	 J.	 #	 Lopez-Pajares	 V.	 #	 Tao	 S.	 #	 Qu	 K.	 #	 Crabtree	 G.R.	 #	 Khavari	 P.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Seib	 D.R.M.	 #	 Corsini	 N.S.	 #	 Ellwanger	 K.	 #	 Plaas	 C.	 #	 Mateos	 A.	 #	 Pitzer	 C.	 #	 Niehrs	 C.	 #	 Celikel	 T.	 #	 Martin-Villalba	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Jang	 M.-H.	 #	 Bonaguidi	 M.A.	 #	 Kitabatake	 Y.	 #	 Sun	 J.	 #	 Song	 J.	 #	 Kang	 E.	 #	 Jun	 H.	 #	 Zhong	 C.	 #	 Su	 Y.	 #	 Guo	 J.U.	 #	 Wang	 M.X.	 #	 Sailor	 K.A.	 #	 Kim	 J.-Y.	 #	 Gao	 Y.	 #	 Christian	 K.M.	 #	 Ming	 G.-L.	 #	 Song	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Xie	 R.	 #	 Everett	 L.J.	 #	 Lim	 H.-W.	 #	 Patel	 N.A.	 #	 Schug	 J.	 #	 Kroon	 E.	 #	 Kelly	 O.G.	 #	 Wang	 A.	 #	 D'Amour	 K.A.	 #	 Robins	 A.J.	 #	 Won	 K.-J.	 #	 Kaestner	 K.H.	 #	 Sander	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ding	 Q.	 #	 Lee	 Y.-K.	 #	 Schaefer	 E.A.K.	 #	 Peters	 D.T.	 #	 Veres	 A.	 #	 Kim	 K.	 #	 Kuperwasser	 N.	 #	 Motola	 D.L.	 #	 Meissner	 T.B.	 #	 Hendriks	 W.T.	 #	 Trevisan	 M.	 #	 Gupta	 R.M.	 #	 Moisan	 A.	 #	 Banks	 E.	 #	 Friesen	 M.	 #	 Schinzel	 R.T.	 #	 Xia	 F.	 #	 Tang	 A.	 #	 Xia	 Y.	 #	 Figueroa	 E.	 #	 Wann	 A.	 #	 Ahfeldt	 T.	 #	 Daheron	 L.	 #	 Zhang	 F.	 #	 Rubin	 L.L.	 #	 Peng	 L.F.	 #	 Chung	 R.T.	 #	 Musunuru	 K.	 #	 Cowan	 C.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wang	 S.	 #	 Bates	 J.	 #	 Li	 X.	 #	 Schanz	 S.	 #	 Chandler-Militello	 D.	 #	 Levine	 C.	 #	 Maherali	 N.	 #	 Studer	 L.	 #	 Hochedlinger	 K.	 #	 Windrem	 M.	 #	 Goldman	 S.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wakayama	 S.	 #	 Kohda	 T.	 #	 Obokata	 H.	 #	 Tokoro	 M.	 #	 Li	 C.	 #	 Terashita	 Y.	 #	 Mizutani	 E.	 #	 Nguyen	 V.T.	 #	 Kishigami	 S.	 #	 Ishino	 F.	 #	 Wakayama	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhu	 Y.	 #	 Huang	 Y.-F.	 #	 Kek	 C.	 #	 Bulavin	 D.V.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Liu	 K.	 #	 Jiang	 M.	 #	 Lu	 Y.	 #	 Chen	 H.	 #	 Sun	 J.	 #	 Wu	 S.	 #	 Ku	 W.-Y.	 #	 Nakagawa	 H.	 #	 Kita	 Y.	 #	 Natsugoe	 S.	 #	 Peters	 J.H.	 #	 Rustgi	 A.	 #	 Onaitis	 M.W.	 #	 Kiernan	 A.	 #	 Chen	 X.	 #	 Que	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Goff	 D.J.	 #	 Recart	 A.C.	 #	 Sadarangani	 A.	 #	 Chun	 H.-J.	 #	 Barrett	 C.L.	 #	 Krajewska	 M.	 #	 Leu	 H.	 #	 Low-Marchelli	 J.	 #	 Ma	 W.	 #	 Shih	 A.Y.	 #	 Wei	 J.	 #	 Zhai	 D.	 #	 Geron	 I.	 #	 Pu	 M.	 #	 Bao	 L.	 #	 Chuang	 R.	 #	 Balaian	 L.	 #	 Gotlib	 J.	 #	 Minden	 M.	 #	 Martinelli	 G.	 #	 Rusert	 J.	 #	 Dao	 K.-H.	 #	 Shazand	 K.	 #	 Wentworth	 P.	 #	 Smith	 K.M.	 #	 Jamieson	 C.A.M.	 #	 Morris	 S.R.	 #	 Messer	 K.	 #	 Goldstein	 L.S.B.	 #	 Hudson	 T.J.	 #	 Marra	 M.	 #	 Frazer	 K.A.	 #	 Pellecchia	 M.	 #	 Reed	 J.C.	 #	 Jamieson	 C.H.M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lagadinou	 E.D.	 #	 Sach	 A.	 #	 Callahan	 K.	 #	 Rossi	 R.M.	 #	 Neering	 S.J.	 #	 Minhajuddin	 M.	 #	 Ashton	 J.M.	 #	 Pei	 S.	 #	 Grose	 V.	 #	 O'Dwyer	 K.M.	 #	 Liesveld	 J.L.	 #	 Brookes	 P.S.	 #	 Becker	 M.W.	 #	 Jordan	 C.T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Han	 X.	 #	 Chen	 M.	 #	 Wang	 F.	 #	 Windrem	 M.	 #	 Wang	 S.	 #	 Shanz	 S.	 #	 Xu	 Q.	 #	 Oberheim	 N.A.	 #	 Bekar	 L.	 #	 Betstadt	 S.	 #	 Silva	 A.J.	 #	 Takano	 T.	 #	 Goldman	 S.A.	 #	 Nedergaard	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Reinhardt	 P.	 #	 Schmid	 B.	 #	 Burbulla	 L.F.	 #	 Schöndorf	 D.C.	 #	 Wagner	 L.	 #	 Glatza	 M.	 #	 Höing	 S.	 #	 Hargus	 G.	 #	 Heck	 S.A.	 #	 Dhingra	 A.	 #	 Wu	 G.	 #	 Müller	 S.	 #	 Brockmann	 K.	 #	 Kluba	 T.	 #	 Maisel	 M.	 #	 Krüger	 R.	 #	 Berg	 D.	 #	 Tsytsyura	 Y.	 #	 Thiel	 C.S.	 #	 Psathaki	 O.-E.	 #	 Klingauf	 J.	 #	 Kuhlmann	 T.	 #	 Klewin	 M.	 #	 Müller	 H.	 #	 Gasser	 T.	 #	 Schöler	 H.R.	 #	 Sterneckert	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Yamaji	 M.	 #	 Ueda	 J.	 #	 Hayashi	 K.	 #	 Ohta	 H.	 #	 Yabuta	 Y.	 #	 Kurimoto	 K.	 #	 Nakato	 R.	 #	 Yamada	 Y.	 #	 Shirahige	 K.	 #	 Saitou	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ding	 Q.	 #	 Regan	 S.N.	 #	 Xia	 Y.	 #	 Oostrom	 L.A.	 #	 Cowan	 C.A.	 #	 Musunuru	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Guha	 P.	 #	 Morgan	 J.W.	 #	 Mostoslavsky	 G.	 #	 Rodrigues	 N.P.	 #	 Boyd	 A.S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Beerman	 I.	 #	 Bock	 C.	 #	 Garrison	 B.S.	 #	 Smith	 Z.D.	 #	 Gu	 H.	 #	 Meissner	 A.	 #	 Rossi	 D.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Sirko	 S.	 #	 Behrendt	 G.	 #	 Johansson	 P.A.	 #	 Tripathi	 P.	 #	 Costa	 M.	 #	 Bek	 S.	 #	 Heinrich	 C.	 #	 Tiedt	 S.	 #	 Colak	 D.	 #	 Dichgans	 M.	 #	 Fischer	 I.R.	 #	 Plesnila	 N.	 #	 Staufenbiel	 M.	 #	 Haass	 C.	 #	 Snapyan	 M.	 #	 Saghatelyan	 A.	 #	 Tsai	 L.-H.	 #	 Fischer	 A.	 #	 Grobe	 K.	 #	 Dimou	 L.	 #	 Götz	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
